Q3A,Q5A,Q10A,Q13A,Q16A,Q17A,Q21A,Q24A,Q26A,Q31A,Q34A,Q37A,Q38A,Q42A,gender,country,education,age,religion,orientation,married,familysize
1,1,1,2,2,1,1,1,3,1,2,1,1,1,2,ID,4,25,12,1,1,2
4,3,3,4,3,3,4,3,4,4,4,2,4,2,2,NI,2,16,4,3,1,2
4,3,1,4,2,3,3,3,3,2,3,2,2,4,2,NI,2,16,4,3,1,2
1,2,1,2,2,1,2,2,1,2,2,1,1,4,2,DO,3,24,1,1,1,4
3,4,4,4,4,2,4,3,4,4,3,4,4,4,3,TR,2,16,10,3,1,1
4,3,3,4,3,3,3,3,4,3,4,3,3,4,2,US,2,18,2,2,1,1
3,3,3,3,4,4,4,3,2,3,4,3,4,4,2,DO,3,24,1,1,1,4
1,3,2,2,1,2,3,2,2,1,3,1,2,3,2,US,2,18,12,1,1,1
1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,NO,2,23,1,2,1,4
4,4,4,4,4,4,3,4,4,4,3,4,4,4,2,GR,2,22,1,1,1,2
1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,US,3,61,4,1,2,2
2,2,3,2,2,2,1,2,1,2,1,2,1,4,2,GR,3,21,1,1,1,2
4,4,4,4,4,3,4,2,4,4,4,4,3,4,1,IN,2,20,2,2,1,3
1,3,2,2,1,1,1,1,1,1,1,1,1,3,1,US,3,23,12,1,1,2
1,2,2,1,2,2,1,1,1,1,1,1,1,2,2,US,2,17,7,4,1,6
3,3,2,4,2,2,1,2,4,1,2,1,1,2,2,MY,4,23,10,0,1,4
3,4,4,3,3,4,4,3,3,2,3,4,4,3,3,US,1,16,1,4,1,3
2,2,2,2,1,2,1,2,1,2,1,1,1,3,1,US,2,21,1,1,1,3
4,4,1,3,2,1,1,3,1,4,2,1,1,4,2,US,4,26,1,2,1,2
2,3,3,4,3,3,2,3,3,3,3,2,2,4,1,US,2,40,2,1,3,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,US,2,18,7,1,1,2
2,3,3,3,2,4,3,2,3,2,3,3,3,4,2,US,1,16,12,1,1,2
3,4,4,4,4,4,3,4,3,4,4,4,4,4,2,US,3,20,2,2,1,4
1,2,1,1,1,1,1,2,1,3,1,1,1,2,2,DE,3,27,3,2,1,2
2,2,1,2,1,1,1,2,2,1,1,1,1,2,2,US,3,22,12,1,1,3
3,2,4,3,3,4,4,2,3,2,4,4,4,3,1,US,3,28,2,1,1,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,CA,2,17,10,2,1,2
2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,US,3,22,12,2,1,2
1,4,1,4,2,1,1,2,4,1,1,1,1,4,2,US,2,15,4,1,1,2
4,2,2,4,3,4,4,2,3,2,4,3,3,4,2,US,2,15,7,1,1,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,US,2,18,7,1,1,2
2,2,2,2,2,2,1,2,2,3,2,2,2,3,2,US,3,60,4,1,1,2
3,4,4,4,3,4,4,4,4,4,4,4,4,4,2,LK,2,18,12,2,1,2
2,3,3,3,2,2,2,2,2,2,2,1,2,3,2,GB,3,20,1,1,1,3
1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,BR,2,20,2,3,1,2
2,4,1,2,2,3,2,2,2,2,4,1,3,4,2,US,1,14,4,1,1,6
2,3,1,3,2,1,1,2,2,1,2,1,1,4,2,US,1,16,7,2,1,3
1,2,2,1,3,2,1,2,1,1,1,1,1,3,2,US,1,14,1,4,1,2
4,4,3,4,3,3,4,4,3,4,3,4,4,4,2,US,3,21,1,3,1,8
2,3,2,4,2,3,3,3,3,3,3,3,3,3,2,US,2,15,4,2,1,3
3,3,3,3,4,4,4,2,3,3,4,3,4,4,2,US,1,14,2,4,1,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,US,2,17,1,1,1,3
3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,2,15,2,5,1,2
1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,US,2,18,1,1,1,2
2,2,2,3,2,2,2,2,2,2,2,3,2,4,2,US,2,20,7,1,1,2
2,2,2,1,3,1,4,2,1,2,3,2,4,2,2,US,3,24,2,2,1,1
1,4,1,2,1,1,1,1,2,1,1,1,1,4,1,US,4,40,4,1,2,4
4,4,4,4,4,3,3,4,4,4,3,4,4,4,2,IN,4,37,8,1,3,2
2,4,3,4,4,3,4,3,1,4,3,4,4,3,1,AR,2,22,1,1,1,3
2,3,3,4,2,4,3,3,3,2,3,2,3,4,1,US,2,18,2,1,1,2
2,3,1,3,3,2,2,3,4,3,2,3,2,4,2,KH,3,23,6,3,1,3
3,3,1,4,3,3,3,3,4,3,4,3,3,4,1,US,4,46,6,1,3,3
2,4,4,3,2,4,3,2,4,2,3,3,3,4,1,US,3,57,4,1,2,12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,US,4,26,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,US,2,41,7,1,2,7
2,1,1,2,3,2,1,2,2,3,1,1,2,1,2,GB,2,17,7,1,1,2
1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,BR,3,22,4,1,1,2
3,4,3,2,4,1,3,4,3,3,1,2,2,4,2,US,4,55,7,1,2,1
2,4,1,2,2,1,1,1,1,2,2,1,1,4,2,US,2,27,4,2,1,1
2,4,1,2,1,1,2,1,2,1,1,2,1,4,2,US,2,19,2,1,1,3
2,3,1,2,4,3,1,2,3,3,2,2,1,4,1,AR,2,19,0,2,1,2
2,3,2,4,2,3,3,2,4,2,2,2,3,3,2,US,2,28,7,1,1,6
1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,US,2,19,12,5,1,1
3,3,4,4,2,4,3,4,3,3,4,3,2,3,2,CA,3,23,4,1,1,1
3,4,4,4,4,4,4,3,3,4,4,4,4,4,1,US,2,18,5,1,1,4
2,4,4,4,3,3,4,2,4,4,4,4,4,4,3,TR,2,16,10,3,1,1
3,4,4,4,4,4,4,4,3,4,4,4,4,4,1,US,1,16,1,2,1,2
2,2,3,4,2,2,2,4,3,3,2,2,2,3,2,IT,2,22,4,1,1,2
2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,MK,2,36,7,1,2,2
2,3,2,3,2,3,2,2,2,3,2,2,2,3,1,US,2,18,1,2,1,2
1,1,2,2,2,1,2,1,2,1,1,1,2,2,2,PT,3,25,1,1,1,1
3,3,4,4,4,3,2,4,4,4,2,4,3,4,2,US,3,34,7,1,1,0
1,3,1,4,1,1,1,1,4,1,1,2,1,2,2,GR,4,30,7,1,1,1
3,3,4,4,3,3,4,3,3,3,3,3,3,4,1,US,2,28,7,1,3,1
2,4,3,4,4,4,3,4,4,4,3,4,4,3,2,US,2,15,4,4,1,5
4,4,4,4,3,4,4,2,4,3,4,4,4,3,1,BA,2,27,2,1,1,2
3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,US,2,16,2,3,1,1
3,3,4,3,3,3,4,3,2,3,3,4,4,4,1,US,1,16,2,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,US,4,36,1,1,1,2
2,2,2,2,2,2,4,3,4,3,4,2,3,3,2,GB,2,19,2,1,1,2
2,4,4,4,3,3,2,4,4,4,3,3,2,4,2,AU,4,32,1,4,1,1
1,3,1,3,1,2,1,2,3,2,2,1,2,2,2,US,3,22,4,1,1,2
4,3,1,3,4,2,4,4,4,4,2,1,3,3,2,US,3,40,12,1,2,2
3,4,3,3,3,3,3,3,3,3,2,2,2,4,3,US,2,18,2,2,1,3
3,2,4,4,4,4,4,3,4,2,4,4,4,4,1,US,1,18,2,1,1,3
2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,US,2,36,12,1,3,2
2,1,2,2,2,1,1,1,1,2,1,1,1,3,2,RU,3,14,1,5,1,2
2,2,3,4,3,3,3,3,3,2,3,2,3,3,2,US,2,16,4,1,1,4
1,2,1,1,1,2,1,1,1,1,1,2,1,2,2,GB,3,25,1,1,1,2
1,3,4,4,4,4,4,1,4,4,4,3,4,3,1,US,3,20,2,1,1,4
3,2,2,3,4,2,3,4,3,4,3,2,3,3,1,IT,0,18,1,1,1,3
3,4,4,4,2,3,4,1,4,2,3,4,4,3,2,IN,1,15,8,2,1,1
2,2,2,3,2,2,3,2,3,2,2,2,2,3,2,GB,3,56,2,1,2,3
1,1,2,2,1,2,2,1,2,1,2,1,2,1,1,US,3,43,11,1,1,3
4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,US,2,21,1,1,1,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,1,14,7,3,1,1
1,2,1,2,1,2,1,1,2,1,2,1,1,2,2,GB,3,42,12,1,2,1
1,4,3,3,1,4,1,1,2,3,3,2,1,4,1,HU,2,21,6,1,1,4
1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,GB,3,71,12,1,2,1
2,2,4,2,1,2,1,1,3,2,2,1,2,2,2,US,1,14,12,2,1,5
1,3,2,2,2,2,2,2,2,2,2,2,2,3,2,US,3,37,12,1,1,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,2,20,2,2,1,4
1,2,2,2,2,2,1,2,2,2,2,1,1,2,3,KR,3,26,12,5,1,1
1,1,1,2,3,1,1,2,3,2,1,1,2,3,1,US,3,32,5,1,2,6
1,1,3,1,2,2,1,1,3,1,3,1,1,3,3,FI,2,13,7,2,1,4
2,2,2,1,2,2,2,2,1,2,2,3,2,2,1,IN,4,24,8,3,1,0
2,3,1,2,1,1,1,2,2,1,2,2,1,3,1,IE,2,67,4,1,3,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,AU,2,16,12,2,1,3
1,1,1,2,3,4,3,1,3,1,4,1,3,1,3,US,2,18,4,1,1,4
2,3,2,3,2,3,3,2,2,3,2,2,3,2,2,US,2,23,2,1,2,5
2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,RS,3,42,2,1,1,2
1,1,2,2,2,1,1,2,3,3,1,1,2,2,2,NO,2,20,4,1,1,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,US,4,34,4,3,1,1
1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,CZ,3,44,1,1,3,2
3,1,1,2,1,2,2,2,2,1,2,1,2,3,1,PL,1,16,2,1,1,1
1,3,4,4,3,4,3,3,3,2,3,4,4,2,1,PL,1,17,1,1,1,2
1,3,2,3,2,2,2,2,3,2,2,1,1,3,2,US,2,32,7,1,3,4
3,4,3,2,3,3,2,2,4,3,4,3,2,3,2,GB,3,19,2,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,US,2,16,2,1,1,3
1,2,2,1,1,2,2,1,2,1,1,1,1,3,2,US,2,18,4,1,1,3
2,2,2,4,3,3,1,2,3,3,1,3,2,3,1,US,2,17,7,1,1,5
4,3,4,4,3,4,4,4,4,4,4,3,4,4,2,GB,2,36,6,3,3,2
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,HU,2,20,2,1,1,3
4,3,4,4,3,4,1,4,3,4,4,3,1,3,2,IT,4,27,2,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,CA,4,24,12,1,1,2
3,4,2,2,4,3,3,3,2,1,2,2,2,2,2,GB,3,23,1,5,1,2
2,3,3,3,2,3,3,3,3,2,2,3,4,4,2,BR,3,27,1,2,1,2
2,3,2,2,3,3,3,3,2,2,2,2,3,3,2,US,1,17,1,2,1,1
4,2,2,2,2,2,2,2,2,4,4,2,2,2,2,US,2,19,2,1,1,2
4,4,4,4,4,4,2,4,4,4,4,2,2,4,3,US,1,15,2,5,1,1
2,3,3,2,1,2,2,3,1,3,2,2,2,2,2,US,3,35,7,1,2,1
1,2,1,2,1,1,1,2,2,1,2,1,1,2,2,US,2,46,1,1,2,2
3,2,2,4,3,4,3,3,4,3,4,2,2,3,2,US,1,14,7,1,1,3
3,2,2,4,3,3,2,3,2,3,4,1,2,3,1,US,3,21,4,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,PH,1,13,4,1,1,3
1,2,1,1,2,1,3,2,1,2,2,1,3,4,1,IT,2,22,2,1,1,2
4,4,1,4,3,1,4,3,4,4,1,4,4,3,2,US,2,16,2,3,1,11
4,2,4,4,4,3,4,4,4,3,4,4,4,4,2,RS,1,14,7,0,1,1
1,1,2,2,2,2,1,1,2,1,3,1,1,3,1,RO,2,16,4,4,2,2
1,3,2,1,2,1,1,2,2,1,1,1,1,2,2,DE,2,21,2,1,1,3
2,2,1,4,2,3,2,2,4,2,3,1,2,3,1,GB,3,18,2,2,1,2
2,3,2,2,2,3,1,2,2,2,2,1,1,3,1,US,0,30,2,1,2,2
3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,DE,2,18,1,1,1,3
2,2,2,2,1,3,2,1,3,1,2,2,1,2,2,US,1,15,9,2,1,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,GB,3,20,1,1,2,4
4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,US,2,24,2,1,1,2
4,4,4,4,3,2,4,4,4,3,2,4,2,4,2,US,3,26,6,0,1,3
4,2,4,4,4,4,4,4,4,4,4,4,4,4,1,US,3,38,4,1,2,2
2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,US,3,38,1,2,1,5
1,2,2,2,2,2,1,2,2,3,2,1,2,1,2,US,2,21,2,1,1,2
2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,GB,3,55,2,1,1,6
1,2,1,2,1,2,1,1,2,2,2,1,1,3,2,US,3,49,1,3,2,3
3,4,4,4,3,3,3,3,4,3,4,4,2,4,2,US,2,42,7,1,3,1
2,4,4,3,3,3,3,4,3,4,4,4,3,4,2,US,3,23,1,1,1,5
4,4,2,4,3,3,3,3,3,2,3,2,3,3,1,US,1,16,1,1,1,2
1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,US,2,45,4,1,2,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,US,2,19,1,1,1,2
3,2,3,3,2,4,4,2,4,2,4,4,4,2,1,MX,2,18,4,3,1,2
2,4,2,2,2,2,1,3,3,3,2,2,2,4,2,US,3,35,1,2,2,3
1,3,2,3,2,2,1,1,2,2,2,1,1,3,2,US,2,19,2,2,2,6
4,3,3,3,4,4,4,3,3,2,3,3,4,3,2,US,2,19,2,3,1,1
2,2,3,2,2,2,2,1,1,1,2,2,2,2,1,IT,2,17,2,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,IN,2,16,8,1,1,2
1,2,1,2,3,4,1,2,2,3,2,4,1,1,1,AU,2,19,3,2,1,2
2,2,2,2,2,2,2,3,2,3,2,2,2,4,1,GB,1,15,1,1,1,5
2,2,2,3,2,2,2,2,3,1,2,2,2,2,1,US,2,35,2,1,2,2
1,2,2,2,2,2,1,1,2,2,2,1,1,4,2,US,4,29,7,5,2,4
1,1,1,3,1,2,1,1,2,1,1,1,1,1,1,FR,2,18,1,1,1,2
2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,NONE,4,41,4,1,1,4
4,4,4,3,4,3,2,4,3,3,2,4,2,4,2,CA,2,18,7,3,1,3
2,3,2,3,3,3,3,2,3,2,2,3,2,3,1,US,2,36,7,1,1,2
2,3,2,3,3,2,3,3,2,3,2,3,2,3,1,US,4,47,7,1,2,6
1,3,1,1,1,1,1,1,2,1,1,1,1,2,2,US,2,33,4,1,1,8
2,2,2,2,2,2,2,2,1,2,3,3,2,2,2,MY,4,29,10,0,1,5
3,3,4,4,3,4,4,2,4,2,4,4,4,4,1,FR,2,20,1,1,1,1
1,3,3,4,3,2,4,4,4,2,3,4,3,3,2,US,1,17,1,4,1,2
4,4,4,4,4,1,4,4,4,4,1,4,4,4,2,GB,3,54,6,1,2,2
2,2,2,3,3,4,2,2,3,2,3,3,3,2,2,US,2,19,4,2,1,3
4,1,3,4,2,4,4,3,4,2,4,2,4,1,2,US,2,18,7,1,1,2
3,4,4,4,4,4,4,4,4,3,4,4,4,4,2,PH,1,14,4,5,1,2
3,3,4,4,3,4,4,4,4,3,4,4,4,3,2,US,1,13,1,1,1,3
1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,US,2,17,1,1,1,1
1,4,1,2,1,3,1,3,2,1,2,1,2,4,2,NONE,3,30,7,1,2,3
3,4,4,4,4,3,4,3,4,4,4,4,4,4,2,AU,1,15,2,2,1,1
1,1,4,1,3,3,1,3,2,3,1,2,2,2,2,PH,2,16,2,2,1,1
3,3,4,4,4,4,3,3,4,3,4,4,4,4,1,GB,2,17,1,2,1,4
2,2,3,3,3,2,1,2,3,3,3,2,2,2,1,RO,4,35,7,1,2,2
3,2,1,3,2,2,2,2,3,2,3,2,2,2,2,IN,2,18,8,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,US,2,18,1,1,2,8
2,2,4,1,4,4,4,4,2,4,3,4,4,2,1,US,4,22,8,1,1,2
2,2,1,2,2,1,1,2,2,3,1,2,2,3,2,US,3,25,2,1,1,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,US,1,27,7,1,2,6
1,2,2,2,1,2,1,2,2,1,1,2,2,3,1,US,3,55,4,1,3,4
4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,US,1,17,12,2,1,4
3,3,4,4,4,4,4,4,3,4,4,3,4,4,1,US,2,16,2,5,1,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,CA,2,55,1,1,3,3
1,3,1,2,2,3,1,3,3,2,4,2,2,3,1,US,2,28,7,1,3,9
1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,US,2,19,1,1,1,2
2,4,4,4,2,4,4,2,4,2,4,4,4,4,1,PL,1,19,2,1,1,1
2,1,2,3,2,2,2,3,1,2,2,2,2,2,2,AU,3,40,3,1,1,3
2,3,4,2,4,4,3,3,2,2,3,4,3,4,2,FI,1,17,1,1,1,2
2,1,1,3,2,4,3,1,2,3,2,2,1,3,1,US,3,20,4,1,1,1
1,3,2,4,2,1,1,1,1,1,1,1,4,2,2,RO,2,46,7,1,2,2
3,4,4,2,3,4,3,2,3,4,4,4,4,3,1,ES,2,23,2,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,DE,2,21,2,1,1,2
1,1,1,2,2,2,2,1,2,1,2,1,1,2,2,ID,2,21,10,1,1,3
2,4,3,3,4,4,4,4,3,3,4,4,3,4,2,DE,2,18,4,4,1,2
4,2,2,4,2,1,3,2,2,3,2,4,3,2,2,US,2,44,6,4,1,3
1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,US,2,18,0,1,1,4
1,3,4,2,1,4,4,2,4,2,2,2,3,3,2,US,1,15,9,3,1,3
3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,SG,2,21,10,1,1,5
3,3,3,4,3,4,4,3,3,3,4,4,4,4,2,DE,2,17,2,2,1,4
1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,US,4,53,12,1,2,3
1,2,1,2,2,2,2,2,1,1,1,2,1,2,2,PH,3,19,7,1,1,3
2,2,1,2,1,2,2,1,3,1,2,1,2,1,1,ID,3,22,10,1,1,3
2,3,4,3,3,3,3,2,2,3,4,3,4,1,2,ID,2,20,10,1,1,4
4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,ID,3,21,10,1,1,2
1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,ES,4,35,2,2,1,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,AU,4,50,1,1,1,3
1,3,2,4,2,3,1,2,2,2,2,2,1,4,2,PH,3,19,7,1,1,3
1,3,2,1,4,1,1,4,2,1,2,1,1,4,2,ID,2,20,10,1,1,3
2,2,2,3,3,1,2,1,3,2,2,3,1,3,2,GB,2,21,6,1,1,2
4,2,2,2,2,3,2,4,1,2,2,3,2,4,1,US,2,16,7,1,1,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,US,3,47,1,1,2,2
2,3,1,3,3,3,3,3,3,2,3,2,3,2,2,IE,3,25,4,1,1,4
3,3,4,3,4,4,3,3,3,3,3,4,4,4,1,PT,3,25,12,2,1,2
4,2,4,4,4,4,4,3,4,4,4,4,4,4,2,BR,1,17,0,0,1,1
1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,GR,2,20,0,1,1,3
3,3,4,2,4,4,4,3,2,4,4,4,4,4,1,GR,2,19,2,1,1,2
4,3,2,4,3,4,1,3,4,4,2,3,2,4,2,US,2,48,7,1,2,3
3,1,2,3,4,2,2,3,3,3,2,2,3,3,2,SG,2,17,4,4,1,4
3,3,3,3,2,2,1,3,2,3,2,2,2,4,1,RO,2,31,2,1,1,2
4,3,2,2,2,1,3,2,2,4,3,4,3,3,1,IN,4,28,1,1,1,2
2,1,1,2,1,2,1,3,1,2,1,1,1,3,2,RO,2,20,7,1,1,1
3,3,4,3,3,4,4,2,2,2,4,3,4,2,1,PH,2,17,4,0,1,1
1,2,1,2,1,3,1,1,2,1,1,2,1,2,2,US,2,16,4,1,1,1
4,4,3,4,4,4,4,4,4,3,4,4,3,4,1,US,1,16,2,2,1,3
2,2,2,2,3,2,2,2,1,2,2,2,1,2,1,CA,1,15,1,1,1,1
1,3,2,1,4,1,1,2,1,3,1,3,2,3,2,CA,2,19,7,1,1,4
2,2,3,1,2,2,2,3,1,2,2,2,3,2,1,CA,2,18,7,1,1,4
3,2,4,2,3,4,4,3,1,2,4,4,4,2,2,US,2,16,7,1,1,3
1,2,2,1,2,1,1,2,1,2,1,1,1,2,1,US,4,43,2,1,2,2
4,3,4,4,4,4,3,4,3,4,4,3,4,3,2,US,1,14,2,4,1,4
4,4,4,4,4,4,4,4,3,4,4,4,4,4,1,US,2,16,1,3,1,2
2,4,1,1,2,1,1,2,2,2,1,1,1,4,1,US,1,14,6,1,1,3
2,4,2,3,3,1,2,3,3,4,2,2,3,3,1,HU,4,38,4,1,1,3
2,4,2,3,3,3,2,3,3,3,3,2,2,3,2,AU,3,23,12,2,1,2
2,3,3,2,2,2,2,3,2,2,2,3,2,2,1,ID,3,22,10,1,1,3
1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,IN,4,40,8,1,2,2
2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,US,2,18,2,2,1,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,US,2,16,1,3,1,2
4,4,2,2,2,2,3,3,2,4,2,4,3,3,2,GB,4,38,12,1,1,1
2,3,2,2,1,1,2,2,2,1,1,2,2,2,2,US,2,50,4,1,2,3
2,3,4,3,2,4,1,2,4,2,2,1,1,3,2,DE,1,16,4,3,1,1
3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,IE,2,14,12,2,1,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,BR,2,20,1,1,1,2
3,3,4,4,3,4,4,4,4,3,4,4,4,2,1,US,1,18,12,3,1,2
2,2,2,3,2,3,4,2,3,2,2,2,3,2,2,US,1,16,4,1,1,4
2,3,3,3,3,3,3,3,3,3,3,2,2,4,2,US,4,29,2,1,2,2
3,3,3,2,2,4,2,3,2,3,4,2,1,3,1,US,3,58,2,1,2,2
2,4,2,3,2,2,2,2,3,2,3,1,1,2,2,AT,2,19,4,2,1,2
2,3,2,3,2,3,2,2,3,2,2,2,2,3,3,US,2,18,2,4,1,3
1,1,1,2,2,1,2,2,3,2,2,1,1,2,2,CA,2,43,12,1,3,2
1,3,2,3,1,3,2,2,3,1,3,2,3,1,2,US,3,28,12,3,1,2
