Q3A,Q5A,Q10A,Q13A,Q16A,Q17A,Q21A,Q24A,Q26A,Q31A,Q34A,Q37A,Q38A,Q42A,country,education,gender,age,married,familysize,soma_depressao,indice_depressao
1,0,1,1,0,0,0,0,1,0,0,0,0,1,5,2,2,25,3,2,5,0
3,2,2,3,2,3,3,3,3,2,3,2,2,3,1,3,1,21,1,2,36,4
0,1,2,1,1,1,0,2,1,1,1,1,2,2,29,3,2,29,1,2,16,2
3,1,2,2,2,2,3,2,3,2,2,1,3,2,1,3,2,21,1,5,30,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,2,20,1,5,42,4
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,19,1,5,2,0
1,1,0,2,0,0,0,0,2,1,0,0,0,2,29,2,1,37,1,1,9,0
1,2,2,3,2,3,2,1,2,2,2,2,2,2,1,3,2,19,1,4,28,4
1,3,3,1,1,2,2,2,2,1,1,3,2,1,1,4,2,25,1,2,25,3
3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,19,1,2,40,4
0,3,1,0,0,1,0,2,2,0,2,3,1,3,12,2,1,18,1,1,18,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,21,1,10,0,0
1,1,2,1,1,0,0,1,1,1,0,0,0,1,1,2,1,21,1,7,10,1
0,1,1,1,1,2,0,1,1,0,1,0,0,0,1,3,2,21,1,4,9,0
3,1,1,3,3,3,3,3,3,3,3,2,3,3,2,2,3,19,1,4,37,4
0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,3,2,19,1,4,7,0
1,0,1,3,3,3,1,3,1,2,3,3,1,1,34,4,2,25,1,3,26,3
1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,18,1,3,16,2
2,2,2,2,3,3,2,3,2,3,2,2,3,3,3,2,1,32,1,2,34,4
2,2,2,2,2,3,2,2,2,1,2,3,3,1,1,2,2,20,1,9,29,4
0,0,1,0,3,1,1,1,0,0,1,1,2,1,1,2,2,18,1,3,12,1
1,1,1,1,1,3,3,3,1,1,3,1,3,1,1,3,2,19,1,4,24,3
1,1,0,1,1,1,0,1,1,1,1,0,0,1,2,3,2,21,1,2,10,1
0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,2,1,18,1,3,9,0
0,1,1,1,3,1,0,1,1,0,0,0,0,1,1,2,2,20,1,4,10,1
1,1,3,1,1,3,3,1,1,1,1,3,0,1,1,2,1,19,1,8,21,3
1,2,0,0,1,3,1,1,0,0,3,1,2,0,1,2,2,20,1,5,15,2
0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,3,2,22,1,3,5,0
3,3,3,2,3,3,3,3,2,3,3,3,3,3,1,3,2,23,1,5,40,4
0,1,1,0,1,1,0,1,0,2,1,1,1,2,32,3,1,32,1,3,12,1
3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,3,1,25,2,2,40,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,20,1,2,42,4
0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,3,2,22,1,1,4,0
1,0,1,1,1,0,0,2,0,1,0,0,0,1,1,3,2,32,1,10,8,0
2,0,0,1,1,0,1,0,1,0,1,0,1,1,1,3,2,23,1,3,9,0
0,1,1,1,0,1,0,3,1,0,2,0,0,1,1,3,2,22,1,3,11,1
1,0,0,0,1,0,0,3,0,1,1,3,0,3,1,3,2,19,1,4,13,1
3,3,3,2,1,2,3,2,2,3,2,2,3,3,1,3,1,20,1,5,34,4
1,0,1,0,2,1,0,2,1,2,1,2,0,2,1,2,2,18,1,4,15,2
1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,4,2,37,2,5,11,1
1,2,0,1,0,0,0,1,1,1,0,0,0,1,44,2,2,21,1,5,8,0
1,1,0,1,1,2,1,1,1,1,2,0,0,1,1,3,2,29,1,2,13,1
2,3,1,2,2,3,1,1,2,2,3,1,1,3,1,3,2,21,1,2,27,3
2,2,0,2,1,2,0,2,2,1,1,0,0,1,1,2,2,23,2,5,16,2
2,3,3,3,3,3,3,2,3,2,3,3,3,3,1,3,2,20,1,2,39,4
1,1,1,1,1,1,1,1,0,1,1,2,0,1,1,3,1,45,2,3,13,1
0,0,2,1,0,0,0,0,1,1,0,0,0,1,6,3,2,26,1,3,6,0
2,3,2,1,2,2,3,3,1,2,3,3,3,0,1,2,2,22,1,7,30,4
1,1,0,0,0,1,0,1,0,1,1,0,0,3,9,4,1,24,1,3,9,0
0,1,0,0,1,0,2,0,1,1,0,0,0,1,1,3,2,24,1,3,7,0
1,1,2,1,1,2,1,1,1,3,1,1,1,1,1,2,2,18,1,3,18,2
1,1,3,2,2,2,2,2,2,1,2,1,2,3,1,3,2,20,1,3,26,3
1,2,1,1,1,1,1,2,2,2,1,0,0,1,1,2,2,18,1,4,16,2
2,3,3,3,2,2,2,3,2,2,3,3,3,3,12,2,1,20,1,1,36,4
0,0,0,1,0,2,0,1,2,2,1,1,2,1,1,3,1,23,1,3,13,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,4,2,44,2,12,1,0
2,2,2,2,2,2,1,2,1,2,3,1,2,2,3,3,1,41,1,2,26,3
1,1,1,3,2,3,2,2,2,1,3,1,2,2,2,4,2,29,2,4,26,3
0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,72,2,5,1,0
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,3,2,25,1,5,3,0
1,0,1,0,1,1,0,1,1,0,2,0,0,1,2,3,1,52,2,5,9,0
1,3,1,3,2,2,2,2,2,2,2,1,2,2,5,3,2,22,1,3,27,3
2,3,3,3,2,3,3,3,3,2,3,3,3,2,1,3,2,22,1,3,38,4
1,0,0,3,0,2,0,1,2,1,1,0,0,2,1,3,2,22,1,9,13,1
2,0,2,2,2,3,2,2,0,1,2,1,3,1,1,2,2,19,1,4,23,3
0,0,0,0,2,0,0,1,0,1,0,0,0,1,1,2,1,18,1,3,5,0
1,3,1,1,1,0,0,2,1,1,0,0,0,3,2,2,2,42,2,2,14,2
1,2,1,3,1,3,3,1,2,1,3,1,2,1,1,2,2,20,1,7,25,3
1,1,1,3,2,1,1,2,2,2,2,1,2,2,26,2,2,18,1,3,23,3
0,0,1,2,1,1,2,0,0,0,1,1,1,0,1,3,1,24,1,5,10,1
1,1,1,2,1,2,1,1,0,1,2,3,0,2,1,3,2,20,1,2,18,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,22,1,8,0,0
1,3,1,1,3,1,3,2,1,3,1,2,1,3,2,2,2,23,1,2,26,3
3,2,1,1,1,1,0,3,2,1,1,0,0,1,2,2,2,19,1,3,17,2
1,2,1,2,1,2,0,2,3,3,1,1,1,3,1,3,2,21,1,2,23,3
1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,3,2,35,2,5,20,2
1,0,0,1,1,3,1,0,2,0,3,3,1,0,1,3,2,22,1,4,16,2
2,3,3,2,1,3,2,3,1,2,3,1,3,3,1,3,2,21,1,6,32,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,2,1,20,1,2,14,2
1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,20,1,3,17,2
3,3,3,3,3,1,2,3,3,3,1,3,1,3,2,2,2,46,3,3,35,4
0,1,1,3,3,3,3,1,2,2,2,2,3,1,1,2,2,19,1,5,27,3
2,3,3,3,2,3,3,2,3,2,3,3,3,3,2,2,1,29,2,2,38,4
0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,2,2,20,1,4,8,0
2,3,2,3,3,3,3,3,3,3,3,2,3,3,1,2,2,20,1,5,39,4
0,2,1,3,1,1,1,1,2,0,3,0,0,2,9,2,2,20,1,4,17,2
1,1,2,3,1,2,1,2,2,2,2,2,2,2,1,2,2,22,1,7,25,3
2,3,1,1,3,3,2,2,3,2,1,2,2,3,1,2,2,22,1,2,30,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,27,1,4,0,0
0,3,1,1,3,3,1,3,1,1,3,0,3,2,26,2,2,20,1,3,25,3
1,3,3,3,1,3,3,3,3,2,3,3,3,3,2,2,1,22,1,2,37,4
0,1,1,1,0,1,1,0,1,0,1,0,0,1,3,2,1,57,2,2,8,0
1,1,0,3,0,2,1,1,2,1,2,0,0,2,1,2,1,18,1,5,16,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,21,1,4,42,4
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,19,1,4,2,0
0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,3,2,20,1,5,4,0
0,0,0,1,0,1,1,1,0,0,0,0,1,1,12,4,1,39,3,1,6,0
1,0,1,3,3,1,0,1,1,3,1,3,2,1,23,4,2,31,1,7,21,3
0,3,1,1,1,1,1,1,2,2,1,1,0,2,2,4,2,49,2,4,17,2
3,3,3,1,3,3,1,3,3,3,3,3,3,1,26,4,1,25,1,3,36,4
0,0,0,1,1,1,0,1,1,0,2,0,0,0,1,3,1,21,1,2,7,0
3,3,3,3,3,3,2,3,3,3,3,3,3,2,1,2,2,34,2,11,40,4
1,3,3,3,2,3,3,2,3,3,3,3,3,2,1,3,2,18,1,4,37,4
2,1,3,3,3,3,3,1,3,2,3,3,3,3,1,4,2,25,1,7,36,4
3,2,3,3,3,3,3,3,2,2,3,2,3,2,1,3,2,23,1,4,37,4
1,2,2,3,2,3,1,1,3,2,1,0,1,1,1,2,2,19,1,4,23,3
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,22,1,4,1,0
1,2,2,2,2,1,2,1,1,1,1,0,2,2,12,2,1,18,1,3,20,2
1,0,1,2,2,2,1,1,2,1,1,1,2,1,31,2,2,19,1,2,18,2
1,1,2,1,2,1,0,2,0,2,0,1,0,3,2,4,1,27,1,2,16,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,18,1,4,0,0
3,1,2,1,3,2,2,1,3,2,2,1,3,3,1,2,2,20,1,4,29,4
0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,3,2,20,1,3,3,0
1,0,0,1,1,1,0,2,1,2,1,1,1,0,1,3,2,21,1,4,12,1
3,3,3,3,3,2,3,3,1,3,3,3,3,3,1,4,1,28,1,4,39,4
1,3,1,1,3,3,2,2,1,2,1,1,1,2,1,3,2,20,1,4,24,3
1,1,2,2,2,2,2,1,3,2,2,2,3,3,1,3,2,23,1,7,28,4
0,2,2,1,2,3,1,0,1,3,1,2,2,1,1,3,2,20,1,3,21,3
3,2,2,3,3,3,2,3,3,2,0,3,1,1,1,3,2,27,1,2,31,4
1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,3,2,23,1,4,16,2
2,2,3,1,3,2,2,2,2,1,1,1,2,1,18,2,1,22,1,4,25,3
0,1,2,1,3,3,3,3,3,3,2,1,1,2,1,3,2,21,1,4,28,4
1,3,3,3,1,3,3,3,3,1,3,0,3,3,1,3,2,24,1,5,33,4
3,2,1,3,3,3,2,2,2,3,3,3,2,2,12,3,2,22,1,4,34,4
0,0,1,0,0,2,1,1,0,0,2,1,1,0,1,3,2,22,1,3,9,0
2,2,2,2,2,2,3,2,2,2,2,2,2,2,23,4,2,39,1,2,29,4
0,0,0,1,0,0,0,1,0,0,0,0,0,0,12,4,2,52,2,2,2,0
2,2,1,1,2,3,2,1,2,3,3,1,1,1,1,2,1,21,1,2,25,3
2,2,2,2,3,3,2,1,2,3,3,1,2,2,1,4,2,27,1,4,30,4
1,2,2,1,2,0,1,1,2,1,0,1,1,2,5,2,2,85,3,4,17,2
0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,2,1,42,2,2,6,0
3,3,3,3,2,3,3,2,3,2,3,3,3,3,15,3,1,24,1,2,39,4
0,2,0,1,1,0,2,0,1,0,0,0,3,1,1,3,2,21,1,3,11,1
3,3,2,3,2,3,3,3,2,3,3,3,3,3,1,2,2,18,1,3,39,4
1,1,0,1,0,1,1,0,2,0,2,0,1,1,1,3,2,22,1,2,11,1
2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,20,1,2,40,4
3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,3,2,23,1,11,41,4
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,23,1,5,2,0
3,2,1,3,2,3,2,1,3,1,3,1,2,2,1,2,1,19,1,2,29,4
2,2,0,3,2,0,0,3,3,3,0,1,0,2,6,4,2,33,2,4,21,3
1,3,2,3,3,3,3,2,3,3,3,3,3,3,1,2,2,35,1,4,38,4
2,2,2,3,2,2,2,2,3,2,3,2,1,2,1,3,1,25,1,3,30,4
1,0,2,1,2,2,1,2,1,1,1,1,0,1,9,4,2,23,1,2,16,2
1,2,3,2,2,2,2,2,2,2,2,3,3,3,1,3,2,23,1,3,31,4
3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,20,1,3,41,4
2,1,3,2,2,3,2,2,1,2,2,3,1,1,1,4,2,23,1,4,27,3
0,2,0,1,0,1,0,0,1,0,1,0,1,2,40,4,2,27,1,5,9,0
2,2,2,2,2,2,3,2,3,2,2,2,0,2,1,3,2,24,1,5,28,4
2,3,3,3,2,3,1,3,3,3,3,3,2,3,2,2,1,23,1,3,37,4
0,0,2,3,1,0,1,1,0,3,0,0,1,2,1,4,2,30,2,4,14,2
1,2,0,2,2,1,0,1,2,1,1,1,1,2,2,2,1,56,3,3,17,2
0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,3,1,19,1,2,8,0
1,1,2,2,3,0,1,2,2,1,3,2,2,2,1,3,2,22,1,3,24,3
3,3,3,3,3,1,1,3,2,3,1,3,1,3,2,4,2,21,1,3,33,4
1,1,3,3,1,1,1,1,3,1,2,1,2,1,2,2,2,18,1,4,22,3
1,1,0,3,3,1,0,2,3,2,0,0,0,2,1,3,2,22,1,3,18,2
1,1,3,1,3,3,0,3,1,1,1,0,1,1,9,2,2,19,1,3,20,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,2,2,18,1,2,42,4
0,1,0,2,0,0,0,1,0,1,0,0,0,1,37,3,1,30,2,3,6,0
0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,20,1,2,3,0
0,1,0,1,2,0,1,0,0,1,3,0,0,0,1,2,2,18,1,3,9,0
2,2,1,0,1,3,1,1,1,2,1,1,0,1,1,2,1,20,1,5,17,2
1,2,2,3,2,2,2,1,2,1,1,2,2,1,1,2,2,19,1,5,24,3
2,3,1,3,3,2,1,2,3,3,2,2,1,3,2,1,2,55,3,3,31,4
2,1,3,3,2,3,3,2,3,2,3,3,3,1,2,2,2,50,2,2,34,4
2,2,3,3,2,2,3,2,2,2,2,2,2,3,2,2,1,28,3,1,32,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,22,1,4,0,0
0,1,1,2,2,2,0,1,1,1,1,1,0,2,26,4,2,20,1,3,15,2
3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,2,1,22,1,1,40,4
2,3,2,1,3,2,2,2,0,3,3,1,3,3,1,4,2,24,1,6,30,4
1,2,1,1,1,2,0,2,1,1,2,1,0,2,2,3,1,28,2,2,17,2
0,1,1,1,0,1,0,1,1,1,1,2,0,1,1,2,1,26,1,4,11,1
2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,18,1,3,41,4
1,2,1,3,2,1,1,2,3,3,0,1,0,2,1,3,2,40,2,4,22,3
0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,4,2,24,1,3,3,0
1,2,2,3,2,2,2,1,3,1,2,2,2,1,25,4,2,26,1,5,26,3
1,1,2,2,1,2,2,1,3,1,2,1,1,1,6,3,2,22,2,2,21,3
0,3,0,1,2,0,0,2,3,3,1,1,1,3,5,3,2,55,2,5,20,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,20,1,1,0,0
1,1,1,1,1,1,1,1,1,2,1,0,2,2,1,3,2,21,1,2,16,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,30,1,3,1,0
1,1,1,2,3,2,3,3,3,0,1,3,1,1,39,3,2,34,3,1,25,3
1,0,0,1,1,1,0,2,1,0,1,0,0,1,1,3,2,25,1,3,9,0
1,0,1,1,0,1,0,2,1,2,1,0,0,1,2,4,1,65,2,3,11,1
2,1,3,3,2,3,3,3,3,3,3,3,3,1,1,2,2,18,1,1,36,4
1,2,1,1,2,1,1,2,1,2,1,2,1,3,2,3,1,22,1,2,21,3
2,0,2,0,1,0,0,0,3,1,0,0,0,2,1,3,1,25,1,4,11,1
1,1,3,2,3,2,1,1,2,1,3,3,1,0,1,4,1,27,1,3,24,3
1,1,1,3,3,1,1,2,2,2,2,1,2,3,1,2,2,21,1,3,25,3
1,1,0,1,1,0,0,1,1,1,0,0,0,2,2,4,2,29,1,3,9,0
1,2,3,2,3,3,3,2,2,0,3,2,2,2,1,3,2,19,1,4,30,4
1,1,0,2,1,2,2,1,2,3,1,1,1,0,1,3,2,19,1,4,18,2
0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,4,2,26,1,2,8,0
0,1,0,0,2,0,0,0,1,1,0,0,0,1,1,3,1,22,1,4,6,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,22,1,5,13,1
1,3,2,2,2,3,3,1,3,1,2,3,3,2,3,3,1,22,1,3,31,4
1,1,3,3,3,2,1,2,2,3,3,1,1,2,1,3,2,19,1,3,28,4
2,2,2,3,3,2,2,2,2,3,2,2,1,3,1,3,2,22,1,5,31,4
1,1,0,1,1,0,0,0,1,0,0,0,0,3,2,2,2,22,2,2,8,0
0,1,1,0,2,1,0,1,1,1,1,0,0,2,5,2,1,24,1,2,11,1
2,3,1,2,2,2,1,3,3,2,2,1,2,3,4,2,1,37,1,2,29,4
3,0,3,3,2,1,3,3,3,3,0,3,3,1,1,4,2,23,1,3,31,4
0,0,1,2,1,1,0,1,1,0,1,1,0,0,1,3,1,21,1,7,9,0
1,1,1,2,1,1,1,1,1,1,1,1,0,2,1,3,1,22,1,5,15,2
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,3,2,42,2,6,3,0
1,1,1,3,0,3,1,1,2,3,3,0,0,1,1,3,2,21,1,3,20,2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,33,2,4,1,0
2,0,2,0,2,1,1,1,0,1,0,1,1,2,2,2,1,18,1,2,14,2
1,1,1,3,0,0,3,1,3,0,3,3,3,1,1,3,2,30,3,4,23,3
1,3,2,3,3,3,3,3,3,2,3,3,3,2,3,2,2,19,1,2,37,4
0,1,2,2,0,3,1,1,2,1,3,1,1,1,1,3,2,23,1,4,19,2
2,2,1,2,2,3,2,2,2,1,3,3,1,1,1,2,2,19,1,2,27,3
2,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,2,25,1,4,40,4
0,0,0,1,0,1,0,0,3,0,0,0,0,0,1,4,1,24,1,3,5,0
1,2,2,1,1,3,3,3,2,2,3,3,3,2,1,3,2,24,1,6,31,4
2,2,2,1,2,2,2,1,1,2,1,2,2,2,9,3,2,20,1,2,24,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,22,1,2,42,4
0,2,1,1,0,1,1,1,1,2,1,0,0,2,1,2,2,18,1,6,13,1
2,2,3,2,2,3,2,2,3,2,2,2,1,2,1,2,2,32,2,8,30,4
0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,4,1,28,2,6,3,0
2,3,3,3,3,3,3,2,1,2,3,3,3,2,12,4,2,24,1,3,36,4
1,3,0,0,0,1,0,0,1,1,1,0,0,2,31,4,1,33,2,1,10,1
3,3,2,3,3,2,2,3,3,3,2,1,1,3,2,2,2,18,1,2,34,4
1,3,1,1,3,3,3,3,2,3,3,1,3,3,5,4,1,22,1,2,33,4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,50,3,2,1,0
0,3,0,1,0,0,0,1,1,1,0,0,0,3,2,3,1,24,1,3,10,1
2,3,2,3,2,3,3,1,3,2,3,3,2,2,1,4,2,24,1,4,34,4
0,0,1,2,1,2,1,0,1,2,1,1,0,1,1,2,1,22,1,2,13,1
1,1,1,3,2,1,1,1,1,2,0,1,1,3,1,4,2,25,1,6,19,2
1,0,2,1,1,1,0,0,1,3,3,1,1,1,15,2,2,19,1,2,16,2
0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,2,20,1,4,3,0
0,1,0,2,0,0,0,0,2,0,0,0,0,1,1,3,2,30,1,2,6,0
2,3,1,3,3,3,3,3,3,3,3,3,3,2,38,2,2,19,1,2,38,4
1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,21,1,4,17,2
3,3,3,3,3,3,2,3,3,3,3,3,2,3,12,4,2,35,2,2,40,4
0,1,2,2,2,1,1,2,1,0,0,1,1,1,1,3,2,26,1,7,15,2
0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,2,20,1,5,3,0
3,0,1,1,1,1,0,1,0,1,1,0,1,1,1,4,2,23,1,5,12,1
2,2,3,1,3,3,2,2,2,2,2,3,2,3,1,2,2,20,1,3,32,4
1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,3,2,21,1,3,8,0
0,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,2,20,1,6,38,4
0,0,1,2,1,2,2,0,2,0,1,0,2,1,1,3,2,30,1,5,14,2
1,3,3,3,2,3,3,2,3,3,3,3,3,2,1,2,2,21,1,5,37,4
0,0,0,0,2,0,0,0,1,2,0,0,0,3,20,3,1,26,1,4,8,0
1,1,2,3,2,2,2,2,2,1,2,3,2,1,1,2,2,20,1,3,26,3
0,1,0,1,2,0,0,0,0,0,0,0,0,1,2,1,2,35,2,2,5,0
0,0,0,1,1,0,0,2,1,1,1,1,0,2,5,3,2,22,1,3,10,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,28,1,3,14,2
2,3,2,2,2,2,2,1,2,2,3,2,1,2,1,3,2,27,2,5,28,4
1,1,1,2,1,1,1,1,2,1,3,3,1,1,2,2,1,55,2,3,20,2
1,3,3,2,3,3,3,3,1,1,3,3,3,3,1,3,1,25,1,4,35,4
2,2,2,2,2,2,2,3,2,1,2,1,3,1,1,4,2,25,1,3,27,3
0,0,0,0,3,0,0,3,0,3,0,0,0,1,1,3,2,24,1,6,10,1
2,3,2,3,3,3,2,2,2,2,3,2,2,1,1,2,2,20,1,2,32,4
3,3,3,3,3,0,1,3,3,3,0,3,0,3,2,2,2,28,1,2,31,4
1,2,2,3,3,3,1,1,2,1,3,2,1,1,1,3,2,24,1,5,26,3
3,3,3,1,2,2,2,3,1,3,2,2,3,3,20,3,1,58,1,2,33,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,21,2,6,0,0
0,2,2,2,2,2,2,1,0,0,2,1,1,0,1,3,2,21,1,2,17,2
1,3,2,1,2,0,1,2,2,1,0,1,2,3,15,2,2,18,1,1,21,3
1,1,0,1,2,1,1,2,1,1,1,2,0,2,1,2,1,20,1,3,16,2
2,2,0,3,3,3,3,3,1,1,3,1,2,3,6,3,1,23,1,5,30,4
3,3,1,3,3,3,3,3,3,2,3,3,3,2,12,2,2,22,1,2,38,4
1,2,2,2,2,2,2,1,3,2,3,3,1,2,1,4,2,24,1,3,28,4
1,0,3,1,1,2,1,1,1,1,2,2,1,1,1,3,2,24,1,5,18,2
1,2,1,1,3,3,1,0,1,1,1,1,3,2,1,3,2,20,1,3,21,3
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,21,1,5,1,0
2,3,3,3,3,2,2,3,2,3,2,2,2,3,1,2,2,20,1,5,35,4
1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,3,2,22,1,3,7,0
1,2,2,3,1,1,2,0,3,2,3,0,0,2,1,2,2,20,1,2,22,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,1,54,2,2,1,0
3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,2,2,22,1,2,41,4
2,3,3,3,2,3,3,1,3,2,3,1,3,1,1,2,2,18,1,4,33,4
2,3,1,3,2,2,1,2,2,2,1,1,1,3,2,2,2,18,1,3,26,3
0,0,0,1,0,0,2,1,0,0,0,0,1,1,12,4,2,35,2,3,6,0
3,3,3,3,3,3,3,3,3,2,3,2,2,2,1,4,2,21,1,4,38,4
